placeInfo/name,id,placeInfo/numberOfReviews,placeInfo/rating,rating,text,lang,placeInfo/address,placeInfo/longitude,placeInfo/latitude,placeInfo/webUrl,placeInfo/website,placeInfo/addressObj/postalcode,subtype,description
Palmarosa Wellness & Spa by L'Occitane,10840670,2,5,5,"من افضل النوادي بمدينة الاحساء حيث الاهتمام بالصحة بممارسة جميع الرياضات واهم شي عجبني فيه نظافة المسبح والخدمة الراقيه",ar,"Al Malik Khalid Street InterContinental al Ahsa, Al Ahsa 31982 Saudi Arabia",49.58581,25.37671,https://www.tripadvisor.com/Attraction_Review-g298543-d10840670-Reviews-Palmarosa_Wellness_Spa_by_L_Occitane-Al_Ahsa_Eastern_Province.html,http://www.intercontinental.com/icalahsa,31982,Spas,"A haven of relaxation and well-being, the Palmarosa SPA is the first L’OCCITANE inspired spa in the Eastern Province to offer an exclusive selection of L’OCCITANE en Provence treatments and therapies. Located on the ground floor of the hotel, it includes several treatment rooms, hammam facilities and relaxation rooms for both men and women. The spa offers a fully integrated and holistic well-being journey with a wide range of treatments using L’OCCITANE's signature beauty products that are rich in natural and organic ingredients. The treatments offered to guests include the award-winning Aromachology Relaxing Massage inspired by Swedish effleurage, Balinese massage techniques and the Chinese tradition of acupressure. Premium health club facilities include a fully equipped gym with professional team of fitness instructors, an indoor pool, steam, sauna and a salon. With a wide range of spa treatments, melt all the stress away under the soothing hands the welcoming spa therapist."
North tour,27509205,1,5,5,"We took a full day tour to the sites with related to Mose as well as NEOM.He has a decent knowledge about history and visited Ship Rock, Alter of Moses Golden Cow, Moses Alter, and Split Rock. Then we went to NEOM seeing the starting point of Line and construction sites.In addition, the car was spacious and we enjoyed music as well.That's very well organised and enjoyed a lot !",en,"Tabuk, king Salman st, Tabouk 47524 Saudi Arabia",36.55013264,28.39014342,https://www.tripadvisor.com/Attraction_Review-g679581-d27509205-Reviews-North_tour-Tabouk_Tabuk_Province.html,,47524,Multi-day Tours,"A licensed tour guide by the Ministry of Tourism in the Kingdom of Saudi Arabia in the NEOM, Al-Ula and Tabuk region. work experience since 2015 in the field of tourism. I holds a certificate in tourism guidance and first aid."
Park Avenue Mall,24072768,3,3.5,3,"Me resultó una ciudad que genera un choque cultural muy grande para quienes nos criamos en el marco de culturas más occidentalizadas. He recorrido varios países, algunos de ellos de cultura musulmana y siempre fueron receptivos y abiertos para el turismo internacional. 
No tuve esa misma sensación en esta ciudad. 
Viajé por trabajo, pero me acompañó mi familia y en los pocos ratos libres que tuve no pude disfrutar de mi tiempo con mi hijo con libertad, porque por ejemplo no se me permitió usar la piscina junto a él y a mi marido, sino que me invitaron a retirarme a usar la piscina exclusiva para mujeres.
Por otra parte, la comida árabe me resulta muy rica y saborsa, así que disfruté bastante de sus manjares. También son muy serviciales, así que a todos los eventos laborales que asistí fui recibida con café y dátiles. Así que desde lo laboral/profesional la experiencia fue más grata.",es,"Said Ibn Zayd Rd, Riyadh Saudi Arabia",46.727524,24.82873,https://www.tripadvisor.com/Attraction_Review-g293995-d24072768-Reviews-Park_Avenue_Mall-Riyadh_Riyadh_Province.html,http://www.vedaholding.sa,,Shopping Malls,A new life style for shopping and entertainment
TripeP Tours,20082420,1,4,4,"If you saw Raiders of the Lost Arc with Harrison Ford in Petra, Jordan, this location was carved out of the local sandstone centuries ago by the same civilization--which was destroyed by Allah for bad behavior.",en,"Albatarji Universal Plaza, Jeddah 00966 Saudi Arabia",39.15588,21.5176,https://www.tripadvisor.com/Attraction_Review-g295419-d20082420-Reviews-TripeP_Tours-Jeddah_Makkah_Province.html,http://www.tripleptours.com,966,Scuba & Snorkeling,"a Saudi company in the tourism sector in Saudi Arabia We are here to offer you luxurious tourism in Saudi Arabia with the new vision of Saudi. We make every trip an unforgettable experience. Assuring you see the true admirable Saudi, from the ancient landmarks to heritage and the alluring nature of the Saudi Lands."
Cereza Cafe & Roastery,23412378,1,5,5,"Specialty coffee house. Cozy, greet atmosphere, friendly staff, verity of beans and very delicious cookies ",en,"Prince Mohammed Bin Fahd Road, Dammam 32413 Saudi Arabia",50.122524,26.463999,https://www.tripadvisor.com/Attraction_Review-g298547-d23412378-Reviews-Cereza_Cafe_Roastery-Dammam_Eastern_Province.html,http://www.instagram.com/cereza.sa,32413,Coffeehouses,"A specialty coffee cafe and roastery. Located in Dammam, Mahar st. We are always passionate to select our single origin 100% Arabica specialty beans. Roast it, prepare it and serve it in the best way to achieve to maximum potential rich coffee flavor."
Abha Trips,24163826,81,5,5,"A colleague and I had half a day in Jeddah city and we decided to visit the Old Town. I found a listing by Abha Trips and booked a slot. For some reason, even though I had booked it for morning, the app gave me a confirmation for evening. I contacted Dr. Osama regarding the same and he immediately sorted it out and gave us a morning tour. Muhammad was our guide for the day and he was extremely gracious, forthcoming and knowledagle about the city and it's history. We walked around the town at leisure while he explained the history and significance of the structures and the current restoration work. He also told us about the other places that we could visit in the city. We were looking to buy some perfumes and dates and he was extremely accomodating and took us to 3-4 different shops with a variety of products available. I highly recommend Abha Trips and Muhammad for your next trip to Jeddah if you wish to explore the city and understand it's history and culture. We had a great experience and are extremely happy with the service.",en,Abha Saudi Arabia,42.50861737,18.23509342,https://www.tripadvisor.com/Attraction_Review-g298542-d24163826-Reviews-Abha_Trips-Abha_Asir_Province.html,http://Abhatrips.com,,Historic Walking Areas,Abha trips was created for visitors to recognize the southern beauty of Saudi Arabia. Our tours are private because It's important to us to engage and create a personal connection because it makes the experience very authentic. We speak English fluently and we grew up learning the history of the region and culture.
Adventure Khobar,18817107,7,5,5,"I have experienced a lot of activities with Adventure Khobar. They are very well organised, good planning of the activities I took part of and I highly recommend them for any future adventure. Camping during the winter is a very good activity in the dessert . I highly recommend activities like scuba diving, parasailung,  jet skiing , boat ride etc. ",en,"Dammam, Al Khobar 32656 Saudi Arabia",50.21583204,26.21525876,https://www.tripadvisor.com/Attraction_Review-g298545-d18817107-Reviews-Adventure_Khobar-Al_Khobar_Eastern_Province.html,https://adventurekhobar.com/,32656,Parasailing & Paragliding,"Adventure Khobar Is part of Divers Island group and is arranging Scuba Diving,Parasailing, Horse riding, Paragliding, Desert Camping and lots more fun activities in Khobar.For details please Whatsapp us on +966 50 322 2972 or email us on info@adventurekhobar.com
"
Agib Tour & Travel,18218046,1,5,5,"ولاكن شيء جميل اعتقد بعد ما شاهد هذه الصور الجميله سابدا بالتفكير بالزياره لو لفتره قصيره لكس استغل المنضر الجذاب ",ar,"Jl. Raya Kletek No.106, Menyanggong, Kletek Kec. Taman, Mecca 61257 Saudi Arabia",39.83695786,21.41292366,https://www.tripadvisor.com/Attraction_Review-g293993-d18218046-Reviews-Agib_Tour_Travel-Mecca_Makkah_Province.html,http://agibtour.co.id,61257,Multi-day Tours,"Agib tour & Travel adalah branding dari PT. Al-Ghiyats Maju Bersama yang merupakan perusahaan jasa travel dan perusahaan jasa pelaksanaan ibadah haji dan umrah.
Seiring berjalannya waktu, kami hadir bersama dengan tim work yang tidak diragukan lagi, dengan segala kapasitas pengalaman dan dedikasi yang telah diberikan dalam melayani setiap jama’ah baik untuk melaksanakan ibadah haji maupun umrah."
Al Dana Massage Center,16753707,1,5,5,"neet and clean / reasonable price / profational team . good hospitality /  spaicios rooms , sauna super , steam bath very super",en,"Abd Al Qadous Al Ansari, Al Sulaymaniyah, Jeddah 22253 Saudi Arabia",39.246964,21.50624,https://www.tripadvisor.com/Attraction_Review-g295419-d16753707-Reviews-Al_Dana_Massage_Center-Jeddah_Makkah_Province.html,,22253,Spas,Al Dana Massage Center The best massage center in Jeddah. We provide professional massage services. We offer every customer an oil massage including free sauna and steam. The price of the session is SAR 126 for one hour. We accept payment by credit card. You must book an appointment via mobile or via our website.
Al-Haddad Scuba,9740183,39,4,5,"So far the best day in KSA I have ever experienced thanks to these guys. 

We went for snorkeling trip by boat to the coral reef.",en,Jeddah 23821 Saudi Arabia,39.058643,21.755066,https://www.tripadvisor.com/Attraction_Review-g295419-d9740183-Reviews-Al_Haddad_Scuba-Jeddah_Makkah_Province.html,http://haddadscuba.com/en/homepage/,23821,Scuba & Snorkelling,"Al-Haddad Scuba is the most visited dive center in Jeddah. We offer the most exciting scuba diving programs. Your enjoyment and safety are our top priorities. Our facility and its staff, have enough experience. we have trained more than 3000 Divers in the past 5 years. We offer diving in Jeddah and Rabigh. As a result, we focus on producing well-established divers. Our Divers are safe and comfortable underwater. We stand, to make sure our divers are having the best diving community!.."
Amazing Tours,10244300,156,5,5,"Thank too the tour guides it was really enjoyable and exciting 
But I wish I took the tour in the summer because in the summer the wether is nice",en,Riyadh 10103 Saudi Arabia,46.82378,24.7653,https://www.tripadvisor.com/Attraction_Review-g293995-d10244300-Reviews-Amazing_Tours-Riyadh_Riyadh_Province.html,http://www.amazingtours.com.sa,10103,Historical & Heritage Tours,"Amazing Tours is a licesned Saudi DMC operating different tours to explore Saudi history, culture, and nature with best guides who explain the interesting stories and details of each site we also offer guarantee departing tour schedule at our website to different destinations in Saudi Arabia with best possible prices and activities."
365 Adventures Saudi Arabia,27742881,1,3,3,"I loved being out in the water with all my friends, and nothing could have ruined that but honestly the staff during our trip nearly did. I’m a fairly experienced kayaker in seas, lakes, rivers and rapids and this is the first time I have been discriminated against because of my size. (I would say I’m small-mid fat, US size 16-18) The member of staff told me and my whole group that I should use a double kayak “because of my weight” but didn’t back this up with an explanation. Maybe the kayaks here are cheaper and less sea worthy than others I’ve used previously. I did it anyway to save embarrassment and time because the process of getting us on the water was very slow. As it happened, the girl who shared with me was much smaller and the weight distribution was completely wrong due to this being a double kayak. I felt unsafe the whole time but luckily, as mentioned I am experienced and a very strong swimmer.  Then we had a great time all kayaking together and swimming together, but at the end another member of staff suggested we set up a photo for breast cancer awareness and told us to “form the shape of a ribbon with our kayaks”. She had no idea how to direct this and expected us to just know how to make the shape she envisioned with no help or leadership. We tried for about 10 minutes but all ended up very frustrated and cranky because we couldn’t get this task right. Then we had an equally slow process of getting out of our kayaks as we had getting in them. 

So to sum up- you will have fun with your friends, but prepared to be fat shamed if you dare to be out in public in a swimsuit and you are over a size 16.",en,"Qirawaan Dist. R7178 Westbay, Riyadh 00000 Saudi Arabia",46.65811934,24.67384393,https://www.tripadvisor.com/Attraction_Review-g293995-d27742881-Reviews-365_Adventures_Saudi_Arabia-Riyadh_Riyadh_Province.html,https://365adventures.me/saudi-arabia/,0,Parasailing & Paragliding,"An ancient land lies between the Red Sea & the Persian Gulf awaiting to unfold its stories to curious travelers. 
Saudi Arabia is an underrated Middle Eastern destination where vast deserts, towering mountains, and rich cultural heritage blend seamlessly with modernity. From the golden sands of the desert to the gleaming skyscrapers of Riyadh and Jeddah, and the cool mountains of Asir and Baha"
Saudi Diving Center,20007485,1,5,5,"The best service for expats or Arabic speakers.

It is definitely the place where you must go in Yanbu to have some diving experience, from your arrival at Saudi Dive Center you will get the most friendly and specialized advice from the “Great Santana” who from the front desk will indicate the best trips in the area or the diving equipment that best fulfill your needs.

In my case I am a Venezuelan citizen living in Yanbu who always dreamed of starting the world of diving, I received the best education from Sultan and then from Ahmed who take me by the hand throughout the educational process until I become a professional diver.

To date, I have made 11 dives with them, of which many more will surely come, each trip organized to perfection, delicious meals, cold drinks, a new learned skill and a world of experiences to tell.

I am very pleased to have started with them and to be part of the SDC family who today consider them as my brothers.

It only remains to give them forever a thousand thanks.",en,"Alsumiri, Alhizam St., Yanbu 46456 Saudi Arabia",38.057663,24.093807,https://www.tripadvisor.com/Attraction_Review-g298554-d20007485-Reviews-Saudi_Diving_Center-Yanbu_Al_Madinah_Province.html,http://sdc-scuba.com,46456,Scuba & Snorkelling,"An approved dive center that provides diving trips for entertainment and training, also provides diving and swimming equipment with the best international brands."
UnknownRoom,23105940,7,4.5,5,Fahdi helping us through out our day fahdi was kind he is the goat to fahdi your so nice good work 😁😁 and the happy death day is good and scary in the same time and it is good with family and friends thanks fahdi for being the best employee,en,"Prince Sultan Road, Al Rakah Al Janubiyah, Al Khobar 34421 Floor 1, Al Khobar Al Khobar 34421 Saudi Arabia",50.2077,26.33951,https://www.tripadvisor.com/Attraction_Review-g298545-d23105940-Reviews-UnknownRoom-Al_Khobar_Eastern_Province.html,https://www.unknownroom.com,Al Khobar 34421,Room Escape Games,An Escape Room depending on the game of your choosing Real-Life Adventure Game. You and your team will assemble in a themed room and will have one hour to complete your mission and “escape” the room. A successful escape will require you to find hidden clues and solve challenging puzzles throughout the room.
Exit the Room,12198659,4,5,5,We played two rooms. The Mind Boggling room is a very white room that is rated an OK experience. The Bomb room is very interactive and clever room. Overall the place is awesome.,en,Jeddah Saudi Arabia,39.12909377,21.58248178,https://www.tripadvisor.com/Attraction_Review-g295419-d12198659-Reviews-Exit_the_Room-Jeddah_Makkah_Province.html,http://www.exittheroomsa.com,,Game & Entertainment Centers,An escape room or escape game is a unique experience for small teams. You have 60 minutes to solve a series of logic puzzles to complete your mission or to be able to exit the room. Our game masters provide you with a special story and a mission that creates a truly immersive experience and they also provide you with hints during the game if you run out of ideas
Spa Sheraton Dammam Hotel & Convention Centre,23149708,1,5,5,Really needed a full body massage gor my 50th birthday celebration and  i got an excellent one from Annabel. Very professional and friendly.,en,"Prince Mohammed Bin Fahd Road, Dammam 32414 Saudi Arabia",50.11384,26.404873,https://www.tripadvisor.com/Attraction_Review-g298547-d23149708-Reviews-Spa_Sheraton_Dammam_Hotel_Convention_Centre-Dammam_Eastern_Province.html,http://www.marriott.com/hotels/travel/dmmsi-sheraton-dammam-hotel-and-convention-centre/,32414,Health/Fitness Clubs & Gyms,"An oasis of peace and tranquility in the heart of Dammam, Expanding over 1,500 square meters, the Spa and Health Club facilities offer separate areas for ladies and gents, including treatment rooms, temperature controlled indoor Jacuzzi, outdoor and indoor pools, gyms and two tennis courts."
Dadan & Jabal Ikmah,20943532,15,4,5,"The site is worth, even if not comparable with Hegra Mada'in Saleh. But our guide Mr. AbdulAziz Jebel gave us so many interesting informations and conveyed us all his enthusiasm that finally I got really amazed of this short tour.",en,AlUla Saudi Arabia,37.904186,26.688688,https://www.tripadvisor.com/Attraction_Review-g1802184-d20943532-Reviews-Dadan_Jabal_Ikmah-AlUla_Al_Madinah_Province.html,http://www.experiencealula.com/en/places-to-go/dadan,,Historic Sites,"An open air library across AlUla's Valley, lie thousands of inscriptions in Aramaic, Dadanitic, Thamudic, Minaic and Nabataean, features one of the oldest inscriptions of the Islamic era dating back to 24AH (644 CE)."
The Escape Hotel,15122500,9,5,5,"Great Escape experience.. This isnt any ordinary solve a mystery to escape the room.. This is much intense with thrilling actors in the rooms. A horror hotel and deserves every credit. Great job to the creator and the staff all play a great role. 
I have to mention Mr. Moath who plays a great role in the thrill of this hotel.",en,Jeddah Saudi Arabia,39.13291,21.640602,https://www.tripadvisor.com/Attraction_Review-g295419-d15122500-Reviews-The_Escape_Hotel-Jeddah_Makkah_Province.html,http://www.theescapehotel.net,,Room Escape Games,"Are you brave enough to check-in ? Here, we do not accommodate long stays, only intense ones.. You have only one goal: ESCAPE! You and your team must discover the elements in the room which helps you crack the codes, and solve the puzzles. The clock is ticking, you have 60 minutes to earn freedom and checkout. Good luck!"
Mohammed Travels and Tours,25182849,3,5,5,"Great tour, recommended. Bring comfortable shoes. Our guide Mohammed was great, with lots of information and cool stories of Old Jeddah. Is a must if you visit this great city. Love visiting Saudi and meeting tons of very good people. Search for boricuaslivingabroad blog and you will find more info on Jeddah",en,"____ _____, Jeddah 2989 8100 Saudi Arabia",39.18702067,21.48689684,https://www.tripadvisor.com/Attraction_Review-g295419-d25182849-Reviews-Mohammed_Travels_and_Tours-Jeddah_Makkah_Province.html,https://mohadventure.wixsite.com/home,2989 8100,Multi-day Tours,"As a professional Tourist Guide, since 2010, I can help turn your vacation into an unforgettable travel experience. I love meeting new people and showing off the hidden treasures of Saudi Arabia and other lands. Whether we’re together for an hour, a day or a week, you’re bound to discover something new. Explore my site to find out more. I can’t wait to hear from you."
Bateel Diver,10769095,9,4.5,5,Haitham is an amazing diving instructor. His staff is also excellent. I went with them to Yanbu and we stayed at the Holiday Inn. Incredible experience with a competent and organized staff and organization. The boat was great and the food/drink was excellent. Got a deep diver certificate and training.,en,"King Faisal Ibn Abd Al Aziz Al Mazruiyah, Dammam 32414 Saudi Arabia",50.15574,26.325312,https://www.tripadvisor.com/Attraction_Review-g298547-d10769095-Reviews-Bateel_Diver-Dammam_Eastern_Province.html,http://www.bateeldiver.com,32414,Scuba & Snorkeling,"Bateel Diver is PADI 5 Star Instructor Development Center dedicated to the lifestyle of scuba diving and to the community that embraces that lifestyle of safe diving practices. Look through the bios of our team and you’ll see a recurring theme. For all of us, diving is our passion and teaching others to dive is what we live for. Our instructors and dive masters are certified to teach scuba diving."
Big Fun Museum,26821857,1,4,4,"Went with my grandson, 5 years old. Paid one fee for grown up, child free. Spent about 5 hours, in and out. 4 areas for children: enigmatic forrest, painted monsters and super heroes , soft ball play area, mirror illusion maze. Each area is not very big but okay for imaginative play. My grandson revisited each area 4 times, he liked the maze and soft ball the most. Staff were very friendly, especially Fatima and Hussain. They made the day more enjoyable and fun. Thank you. Overall for Riyadh it was value for money.",en,"Al Ameen Abdullah Al Ali Al Naeem St, Riyadh 12836 Saudi Arabia",46.72833,24.826012,https://www.tripadvisor.com/Attraction_Review-g293995-d26821857-Reviews-Big_Fun_Museum-Riyadh_Riyadh_Province.html,,12836,Specialty Museums,"Big Fun Museum is the complex in Saudi Arabia, where an exciting journey through new worlds awaits you in the ""Museum of Illusions"", an incredible adventure on the planet Avatar in the ""Fairy Tale Forest Museum"" and the opportunity to experience the 7 senses in the ""Museum of Emotions""."
Blue Beach,21343248,1,5,5,Best service excellent attitude lots of fun a experience that was worth the journey snorkeling gear was provided and snacks also.,en,"Sharm Yanbu, Yanbu 11343 Saudi Arabia",38.35423,24.25557,https://www.tripadvisor.com/Attraction_Review-g298554-d21343248-Reviews-Blue_Beach-Yanbu_Al_Madinah_Province.html,http://www.bbtc.com.sa,11343,Fishing Charters & Tours,"Blue Beach is Specialized in Big Game Fishing and watersports Activities in Yanbu, Saudi Arabia.
We Also offer Snorkeling and Sunset Cruises."
