name,placeRating,theme,address,latitude,longitude,webUrl,textRating,text,numberOfReviews,lang,placeID,website,city,imageUrl,description,text_sentiment,subtype
Riyadh Trips,5.0,Safaris,"king Abdulaziz road, Riyadh 13322 Saudi Arabia",24.6679,46.66231,https://www.tripadvisor.com/Attraction_Review-g293995-d21246594-Reviews-Riyadh_Trips-Riyadh_Riyadh_Province.html,5.0,"Salman, King of the Edge of the world hosted us impeccably. From pick up to drop off he was the perfect host. We were very lucky with the weather and managed to see the sunset and also experience some rain. Salman directed us to a small cave away from the wind and rain where we could watch the sunset go down. Perfect! Food was warm and tasty afterwards in a cosy tent. Highly recommend the trip, if you can ask for Salman! Thank you. Tony.",409,en,21246594,http://www.riyadhtrips.com,,," Riyadh Trips Group is an official A Grade travel agency run by a team of Saudi youth guides.
Letting all people from all over the world experience the popular tours.
Live the Saudi experience of outdoor activities around 
Saudi Arabia.",positive,Tours & Adventures
Hero Balloon Flights Saudi,5.0,Balloon Rides,AlUla Saudi Arabia,26.61280433,37.93041009,https://www.tripadvisor.com/Attraction_Review-g1802184-d27974580-Reviews-Hero_Balloon_Flights_Saudi-AlUla_Al_Madinah_Province.html,5.0,The views were amazing. The captain was a very nice person. At the end we were invited to eat a cookie and drink Some juice.,405,en,27974580,https://sa.heroballoonflights.com/,,,"Hero Balloon Flights Saudi is AlUlaâs first commercial Hot Air Balloon Operator, offering guests an opportunity to unlock their inner explorer & a sense of wonder as they float at 4,000ft above AlUla's stunning natural landscapes, canyons, and tombs. Take in a world full of history that stretches as far as the eye can see. Book your flight to wonder: https://sa.heroballoonflights.com/",positive,Tours & Adventures
Mall Of Dhahran,4.5,Shopping Malls,"Mall of Dhahran Blvd, Dhahran 34457 Saudi Arabia",26.305836,50.169327,https://www.tripadvisor.com/Attraction_Review-g298548-d3664964-Reviews-Mall_Of_Dhahran-Dhahran_Eastern_Province.html,1.0,Worst mall ever!! Zero customer service. Don’t waste your time by coming here. The people at the movie theater had no clue where we can purchase movie tickets from. 3 different employees gave us 3 different answers. Never coming back here. Better to go to Bahrain as we used to for movies !!,397,en,3664964,http://arabiancentres.com/malls-corporate.php?parentType=10004,,,,negative,Shopping
Jabal al-Nour,4.5,Mountains,Mecca 24238 Saudi Arabia,21.456621,39.857132,https://www.tripadvisor.com/Attraction_Review-g293993-d319521-Reviews-Jabal_al_Nour-Mecca_Makkah_Province.html,5.0,"Brilliant spiritual experience and I recommend everyone to go, be sure to read the first part of seerah before hand!

It took me 30 mins to go to the top.. so not sure why people say 2hrs. I started at the bottom of the main rd and walked all the way up - this is the old hilly rocky route. I know they have made it easy and flat now. If you're young and generally fit then you'll have not problem if you do, then you need to work on your health. And this should be a reminder of how unhealthy you are. 

I did go after fajr jamat so I could be back before Zuhr jamat, but had plenty of time. 

Next time id like to walk from haram to the cave - then it is 2hours but image the spirituality!",393,en,319521,http://www.facebook.com/nationalmemorial,,,"In the Muslim religion, Muhammad received his first revelation from God on this mountain.",positive,Nature & Parks
Half Moon Beach,4.0,Beaches,"Half Moon Bay, Al Khobar 32210 Saudi Arabia",26.18376,50.06028,https://www.tripadvisor.com/Attraction_Review-g298545-d4355080-Reviews-Half_Moon_Beach-Al_Khobar_Eastern_Province.html,5.0,"Whether you’re a kitesurfing beginner or advance rider, we can assist in soaring right into the sport with ease at GKP, especially since kitesurfing is the fastest growing water sport in the word! Kite-surfers get to enjoy ample space and perform tricks on the shores between the kingdoms of Saudi Arabia, Al Khobar - Half Moon Beach.

If you’re looking for any sort of guidance or assistance, the community offers IKO lessons and equipment through its kitesurfing community of Gulf Kitesurfing Paradise.

One of the major highlights of the beach is its safety. Imagine yourself strolling along the pristine white sand, with turquoise waters glistening in the sunlight that welcomes only kite-surfers! And, if you’re really lucky, a dolphin might tail you while you’re trying out waterstart in kitesurfing.

The team offers a safe, serene and idyllic atmosphere, away from the hustle and bustle of Half Moon Beach. Whether you want to  build sandcastles or simply relax with a good book, the whole place offers the perfect setting for a blissful beach experience.

Are you a fan of adrenaline-pumping watersports? You love picturesque beaches, and breathtaking natural beauty? Look no further than Gulf Kitesurfing Paradise (GKP). Located on the southern coast of the 2nd city of Saudi Arabia (Dammam/Al-Khobar), this hidden gem called Zabhna has quickly gained popularity among kiteboarding enthusiasts. With its pristine white sand, crystal-clear waters, and consistent winds, GKP Team offers an unforgettable experience for adventure seekers and kite-surfer lovers alike either from  Saudi Arabia.",352,en,4355080,,,,,positive,Nature & Parks
Wadi Hanifa,4.0,Valleys,Riyadh Saudi Arabia,24.589685,46.70704,https://www.tripadvisor.com/Attraction_Review-g293995-d10358022-Reviews-Wadi_Hanifa-Riyadh_Riyadh_Province.html,1.0,"Semplicemente non è un'attrazione turistica. E' un luogo in cui, quando non fa troppo caldo , si può sostare ed anche, immagino , rilassarsi , ma ad un turista non può dire assolutamente nulla . Può essere una risorsa per i cittadini di Riyadh , ma nulla di più. ",343,it,10358022,,,,,negative,Nature & Parks
Diriyah,4.0,Historic Sites,Diryah Saudi Arabia,25.902386,45.347317,https://www.tripadvisor.com/Attraction_Review-g1889404-d318900-Reviews-Diriyah-Diryah_Riyadh_Province.html,1.0,"It is not open and is like a building site, even though it says it is open on the website. Took half hour taxi ride there to find we were not allowed anywhere and lots of unhelpful staff!",341,en,318900,http://www.diriyah.sa/,,,"Discover Diriyah. The City of Earth. Throughout history, Diriyah has been the Kingdomâs capital of culture and creativity, inspiring kings, thinkers, and scholars throughout the centuries. From the Saudi Hafawah to the Ardah dance, culture is brought to life in every experience.",negative,Historical Sites & Landmarks
Hegra,4.5,Historic Sites,AlUla Saudi Arabia,26.778889,37.9575,https://www.tripadvisor.com/Attraction_Review-g1802184-d2093377-Reviews-Hegra-AlUla_Al_Madinah_Province.html,5.0,Hegra ist einen Ausflug wert. Wir waren begeistert von den antiken Stätten. Die Fahrt mit dem Bus war gut organisiert. Wir hatten einen sehr guten Reiseführer. Es blieben keinen Fragen offen. Zeit zum fotografieren war auch genügend vorhanden. Wir buchten diesen Ausflug im Winterpark. Sehr gut organisiert.,333,de,2093377,https://experiencealula.com/en/Pages/default.aspx,,,"One of AlUlaâs most famous settlements is Saudi Arabiaâs first UNESCO World Heritage Site, carved tombs are from around 2nd century BCE until 106 CE.",positive,Historical Sites & Landmarks
To Rajhi Mosque,5.0,Religious Sites,"Al Akheyar, Al Jazirah, Riyadh 14257 Saudi Arabia",24.677277,46.77902,https://www.tripadvisor.com/Attraction_Review-g293995-d8150867-Reviews-Al_Rajhi_Mosque-Riyadh_Riyadh_Province.html,5.0,I visited the mosque as part of a tour by Scientist's Gift. It was a good opportunity to learn more about Islam and to observe evening prayers. The Mesjid is really spectacular! ,328,en,8150867,,,,,positive,Religious Sites
King Abdullah Park,4.5,Parks,"Al Ameen Abdullah Al Ali Al Naeem Street, Riyadh 12836 Saudi Arabia",24.666656,46.73716,https://www.tripadvisor.com/Attraction_Review-g293995-d7250993-Reviews-King_Abdullah_Park-Riyadh_Riyadh_Province.html,5.0,A beautiful park you can enjoy with family and friends. Rides and toys are the most attraction for kids. Lovely and peaceful park at the heart of Riyadh,309,en,7250993,,,,,positive,Nature & Parks
Bujairi Terrace,4.5,Historic Park,"7295 King faisal Rd., Diryah 13711 Saudi Arabia",24.736572,46.57459,https://www.tripadvisor.com/Attraction_Review-g1889404-d10481114-Reviews-Bujairi_Terrace-Diryah_Riyadh_Province.html,1.0,"It was closed, made to download a ticket and then not allowed access to anywhere even the viewing platform. 
DO NOT GO it says on website open but it has a few restaurants and nothing else",308,en,10481114,http://bujairi.sa/,,,"Welcome to Bujairi Terrace, a premium dining experience with exceptional views over the Kingdomâs most important cultural icon, At-Turaif. This outstanding culinary destination offers over 20 world-class dining experiences celebrating the best international cuisines and local flavors. Welcome to a new culinary culture and exceptional style of dining.",negative,Historical Sites & Landmarks
Al Nakheel Mall,4.5,Shopping Malls,"2976 Al Al Imam Saud Ibn Abdul Aziz Branch Road Al Mughrizat, Riyadh 124856121 Saudi Arabia",24.767687,46.715027,https://www.tripadvisor.com/Attraction_Review-g293995-d8471270-Reviews-Al_Nakheel_Mall-Riyadh_Riyadh_Province.html,3.0,A middle class mall. Some stores are typical just a little worse as they are imitations. Some stores are the original. Clean.,293,en,8471270,http://www.arabiancentres.com/mall/index/ar/2/al-nakheel-mall/,,,,neutral,Shopping
Bicycle Square,3.5,Points of Interest & Landmarks,Jeddah Saudi Arabia,21.567907,39.182724,https://www.tripadvisor.com/Attraction_Review-g295419-d319514-Reviews-Bicycle_Square-Jeddah_Makkah_Province.html,5.0,منظر مميز لمعنى مهم بحياة الإنسان خلال فترة الطفولة. ثم تأتي أهمية هذه الالة للمحافظة على حياة الشباب بعد الثلاثين من العمر.,286,ar,319514,,,,One of the cityâs largest squares features an eye-catching sculpture of a bicycle measuring a 50 feet in height.,positive,Points of Interest & Landmarks
Jannatul Bahqi,5.0,Cemeteries,"Southeast of the Masjid al-Nabawi, Medina Saudi Arabia",24.48125,39.61603,https://www.tripadvisor.com/Attraction_Review-g298551-d8015905-Reviews-Jannatul_Baqi-Medina_Al_Madinah_Province.html,5.0,"Very spiritual
Very clean
Most calm spot on earth 
Everything is well organized and clean 
People are super friendly and helpful",281,en,8015905,http://www.facebook.com/NationalMemorial,,,,positive,Historical Sites & Landmarks
Taneem Mosque,4.5,Religious Sites,"Al Hil, Mecca Saudi Arabia",21.42288,39.825737,https://www.tripadvisor.com/Attraction_Review-g293993-d2296346-Reviews-Masjid_Taneem-Mecca_Makkah_Province.html,5.0,This historical site still give us service to take miqot before we perform umrah. But the rest room is lack of cleanliness and maintenance. The location itself is easy to find.,276,en,2296346,,,,,positive,Religious Sites
Riyadh hiecking,4.5,Hiking & Camping Tours,"Jamman Ibn Nasser 4183, Riyadh 13215 Saudi Arabia",24.76051,46.78069,https://www.tripadvisor.com/Attraction_Review-g293995-d19844366-Reviews-Riyadh_Hiking-Riyadh_Riyadh_Province.html,5.0,"Excellent tour! The views were gorgeous and atmospheric. The agency was very easy to organize, last minute. The ride was safe and a driver accommodating.",272,en,19844366,http://www.riyadhhiking.com,,,"We organize hiking trips in the desert and itâs included quad bikes, camels ride, social dinner and Games",positive,Nature & Parks
Othaim Mall,4.0,Shopping Malls,"Prince Mohammed Bin Fahd Rd, Dammam 32236 Saudi Arabia",26.400047,50.116795,https://www.tripadvisor.com/Attraction_Review-g298547-d5000415-Reviews-Othaim_Mall-Dammam_Eastern_Province.html,1.0,"i won the entire bill, the cashier charged me and said that I had a full year to claim my prize and today they said i had lost.",261,en,5000415,http://www.othaimmalls.com/en/othaim-malls-locations,,,,negative,Shopping
Riyadh Gallery Mall,4.0,Shopping Malls,"King Fahd Road, Riyadh Saudi Arabia",24.74311,46.658405,https://www.tripadvisor.com/Attraction_Review-g293995-d3140287-Reviews-Riyadh_Gallery_Mall-Riyadh_Riyadh_Province.html,5.0,"Excellent mall with good range of stores and food outlets. Spent 3 hours in the mall, very pleasant place to spend the day.",253,en,3140287,https://www.facebook.com/RiyadhGalleryMall/,,,,positive,Shopping
Mall of Arabia,4.0,Shopping Malls,"Madinah Road, Jeddah Saudi Arabia",21.632332,39.15536,https://www.tripadvisor.com/Attraction_Review-g295419-d2195347-Reviews-Mall_of_Arabia-Jeddah_Makkah_Province.html,4.0,"Nice place with plenty of good shops to look in. Still not as good as Red Sea Mall in my opinion, but worth a visit. Good for walking round too!",247,en,2195347,http://www.mallofarabia.com.sa/,,,,positive,Shopping
Granada Center,4.0,Shopping Malls,"Eastern Ring Branch Rd, Riyadh Saudi Arabia",24.781754,46.7308,https://www.tripadvisor.com/Attraction_Review-g293995-d2524569-Reviews-Granada_Center-Riyadh_Riyadh_Province.html,3.0,"A nice mall, but no toilet seats on the toilets. Surely these are basic necessities for good service. This definitely needs to be reviewed.",244,en,2524569,http://www.granadacenter.com.sa,,,,neutral,Shopping
Grave Of Hamzah,4.5,Cemeteries,"Sayed As Shuhada, Medina Saudi Arabia",24.504084,39.611774,https://www.tripadvisor.com/Attraction_Review-g298551-d7050683-Reviews-Grave_Of_Hamzah-Medina_Al_Madinah_Province.html,5.0,Saudi tourism authorities have done a good job of renovating and cleaning up sites of historical importance to Muslims. I visited this site nearly 12 years ago. Today this masjid and the area around Uhud has been cleaned up with requisite facilities for religious tourists. Perhaps a brief narrative in various languages of what transpired here should be posted here so tourists can refresh their memory and the young pilgrims can read and learn. ,232,en,7050683,,,,,positive,Historical Sites & Landmarks
King Abdulaziz Historical Center,4.5,Speciality Museums,"King Saud Rd, Riyadh Saudi Arabia",24.64773,46.710697,https://www.tripadvisor.com/Attraction_Review-g293995-d4022456-Reviews-King_Abdulaziz_Historical_Center-Riyadh_Riyadh_Province.html,5.0,تضُم القاعة الثانية استكشاف الحضارات القديمة التي نشأت خلال الممالك العربية المتوسطة والمبكرة والمتأخرة، وتشمل المعروضات مجموعة كبيرة من الاكتشافات الأثرية مثل الجداريات من قصر آشوري والمجوهرات المزخرفة والفخار، كما تشمل الكتابات القديمة الثمودية والآرامية والإسلامية التي نُحتت في ألواح حجرية.,145,ar,4022456,http://www.arriyadh.com/ar/cgi-bin/LocalUser/Projects/kahc/index.aspx,,,,positive,Museums
Nirvana Spa and Fitness Centre,5.0,Spas,"3266 Custodian of Two Holy Mosques Road Grand Hyatt Al Khobar Hotel and Residences, Al Khobar 31952 Saudi Arabia",26.29014,50.17783,https://www.tripadvisor.com/Attraction_Review-g298545-d23428290-Reviews-Nirvana_Spa_and_Fitness_Centre-Al_Khobar_Eastern_Province.html,5.0,"Waseem provided excellent service over the spa facilities of the hotel. 
Decent steam room and swimming pool. Worth visiting",147,en,23428290,http://www.hyatt.com/en-US/spas/Nirvana-Spa-and-Wellness-Centre/home,,,"Nirvana Spa is a luxurious space with 6 treatment rooms for women and 4 for men, offering a full range of body treatments, facials and massages. At Nirvana Spa, we have a modern and fully equipped Fitness Center, along with a Health Club that offers whirlpool baths, sauna, steam rooms and Moroccan bath. At Nirvana, there are separate swimming pools for men and women, featuring mood lighting and relaxation beds. Kids can access the swimming pool from Thursday to Saturday during the operating hours, and from Sunday to Wednesday during 9:00am - 6:00pm. Nirvana Spa has been awarded by the World Luxury Spa Awards in 2022, 2023, and 2024.
In 2024, Nirvana Spa was honored as one of the Top 100 Spas of the World by Luxury Lifestyle Awards.",positive,Wellness & Fitness
Tahlia Street,4.0,Points of Interest & Landmarks,"Tahlia Street, Riyadh 12241 Saudi Arabia",24.699417,46.69089,https://www.tripadvisor.com/Attraction_Review-g293995-d5529963-Reviews-Tahlia_Street-Riyadh_Riyadh_Province.html,5.0,The Main Street in Riyadh. Plenty of upscale shop and many restaurants and lounge to smoke shisha outside. Lively at night.,142,,5529963,,,,,positive,Points of Interest & Landmarks
Shafa Mountains,4.0,Mountains,Taif 26765 Saudi Arabia,21.086374,40.284782,https://www.tripadvisor.com/Attraction_Review-g298553-d3530458-Reviews-Shafa_Mountains-Taif_Makkah_Province.html,5.0,It was great pleasure to have some quality time with family at Shafa mountains. Especially evening time is amazing with nice weather.,137,,3530458,https://www.visitsaudi.com/en/taif/attractions/al-shafa-mountain-in-taif,,,,positive,Nature & Parks
Al Noor Mall,4.0,Shopping Malls,"King Abdullah Road, Branch Rd, Medina 42331 Saudi Arabia",24.495924,39.59581,https://www.tripadvisor.com/Attraction_Review-g298551-d3664950-Reviews-Al_Noor_Mall-Medina_Al_Madinah_Province.html,4.0,"One of the best mall in Madinah, big space and almost many international fashion brand available. The variety of stores caters to all tastes and preferences. The mall also offers a wide range of dining fastfood options. Visitors can enjoy shopping, dining, and no entertainment all in one convenient location. Overall, it is a must-visit destination for both locals and tourists alike.",135,en,3664950,http://alnoormall.com,,,,positive,Shopping
Dunes & Dates Travel co.,5.0,Cultural Food,"Al Aqiq Plaza, Al Aqiq, Prince Muhammad Ibn Saad Ibn Abdulaziz Rd, Office 110, Riyadh 13123 Saudi Arabia",24.76638469,46.62380002,https://www.tripadvisor.com/Attraction_Review-g293995-d26002238-Reviews-Dunes_Dates_Travel_co-Riyadh_Riyadh_Province.html,5.0,"Incredible tour with Suliman. He is extremely knowledgeable and willing to explain all things Saudi very patiently. I truly enjoyed the experience and my knowledge of the region increased immensly. A delightful tour with lots to see and learn about, from history to culture. I highly recommend this tour to anyone visiting Riyadh. The dinner was also amazing.",135,en,26002238,https://www.dunesanddates.com/,,,"Dunes & Dates Travel co. offers interactive, hands-on immersive tours involving fun, food, and storytelling, highlighting the best of Saudi culture and traditions.",positive,Historical Sites & Landmarks
Scitech (Prince Sultan Science And Technology Center),4.0,Science Museums,"Corniche Road, Al Khobar 31952 Saudi Arabia",26.319263,50.227936,https://www.tripadvisor.com/Attraction_Review-g298545-d4502481-Reviews-Scitech_Prince_Sultan_Science_And_Technology_Center-Al_Khobar_Eastern_Province.html,1.0,Could be much better . Many stuffs don’t work . Lost around an hour including short movie . On the sea side so can be a paas over place …. Not very impressive,133,en,4502481,,,,,negative,Museums
Jabal AlFil (Elephant Rock),4.5,Geologic Formations,AlUla 43521 Saudi Arabia,26.689379,37.98162,https://www.tripadvisor.com/Attraction_Review-g1802184-d7811061-Reviews-Jabal_AlFil_Elephant_Rock-AlUla_Al_Madinah_Province.html,5.0,"Nice area, cozy, available shisha and coffee variant. The perfect spot to relax and unwind with friends. The comfortable seating and chill atmosphere make it a great place to hang out. Whether you're looking to catch up with friends or enjoy a quiet moment alone, this place has got you covered. Plus, the variety of shisha and coffee options ensures there's something for everyone to enjoy.",133,en,7811061,,,,"This spectacular rock formation resembles an elephant with its trunk touching the ground, is one of AlUla's geomorphological wonders became one of AlUla iconic landmarks.",positive,Nature & Parks
Panorama Mall,4.0,Shopping Malls,"Al Takhassusi St. Al Ma'thar Ash Shamali, Riyadh 12332 Saudi Arabia",24.69257,46.66943,https://www.tripadvisor.com/Attraction_Review-g293995-d2615272-Reviews-Panorama_Mall-Riyadh_Riyadh_Province.html,5.0,شراء اثاث مستعمل شمال الرياض شراء اثاث مستعمل حي الخزامي 0551877322حقين الاثاث المستعمل بالرياض يشترون الاثاث المستعمل حي الخزامي ,123,ar,2615272,http://www.zoom-creative.com/clients/panorama-mall/index.html,,,,positive,Shopping
Makkah Mall,4.0,Shopping Malls,"King Abullah Ibn Abdul Aziz Rd, Mecca 24242 Saudi Arabia",21.390781,39.88457,https://www.tripadvisor.com/Attraction_Review-g293993-d3664949-Reviews-Makkah_Mall-Mecca_Makkah_Province.html,1.0,"Makkah Mall is a overpriced, overcharged place, lot of shady deals, duplicate and counterfeit products been sold,would suggest you to completely avoid the same",130,en,3664949,http://makkamall.com,,,,negative,Shopping
Abha Dam Lake,4.5,Bodies of Water,Abha 62512 Saudi Arabia,18.210419,42.487274,https://www.tripadvisor.com/Attraction_Review-g298542-d6881999-Reviews-Abha_Dam_Lake-Abha_Asir_Province.html,3.0,"There is nothing great about this lake or dam. It's just a small water deposit where the banks are quite littered. There is a small park with benches and a lawn overlooking the water body where you could enjoy the cool breeze which would make you want to doze off. You could carry a rug if you want to enjoy coffee and some snacks, or even lunch. 

The roads to get to this dam are steep, advised to walk if your car isn't in good condition. ",108,en,6881999,,,,,neutral,Nature & Parks
Al-Rashid Mega Mall,4.0,Shopping Malls,"Second Ring Road King Abdullah Rd, Medina 42361 Saudi Arabia",24.487503,39.64918,https://www.tripadvisor.com/Attraction_Review-g298551-d4536773-Reviews-Al_Rashid_Mega_Mall-Medina_Al_Madinah_Province.html,4.0,"It has many brands of clothing and other items for shopping. Also, connected Carrefour for grocery shopping and movie theater to see latest films.",110,en,4536773,https://www.facebook.com/Alrashidmallmed,,,,positive,Shopping
King Abdulaziz Equestrian Field,4.5,Horse Tracks,"Al Jenadriyah Road, Al Thumamah Road, Riyadh 13645 Saudi Arabia",24.98603,46.78472,https://www.tripadvisor.com/Attraction_Review-g293995-d2572906-Reviews-King_Abdulaziz_Equestrian_Field-Riyadh_Riyadh_Province.html,5.0,حبيت المكان والاطلاله الجميله ، الطاقم لطيف والاخ محمد ثروت قام بالواجب من حسن الضيافه ، تجربه جميله وبنكررها كثير,106,ar,2572906,http://www.frusiya.com,,,,positive,Entertainment
